word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
exclusive,adjective,độc quyền,She promised him the exclusive rights to her story of revenge.,Cô ấy hứa ông ta sẽ được độc quyền câu chuyện báo thù của mình.,(literally) Excluding items or members that do not meet certain conditions.,4216,/ɛksˈklusɪv/
nostalgia,noun,hoài cổ,"It's one of those nostalgia places, but not done very well.",Nó là một trong những nơi hoài cổ nhưng không làm ăn tốt lắm.,A longing for home or familiar surroundings; homesickness.,4217,/nɒsˈtældʒə/
compassion,verb,trắc ẩn,"You also can show compassion , hard work, and optimism.","Các em cũng có thể bày tỏ lòng trắc ẩn , sự chăm chỉ, và tính lạc quan.","Deep awareness of the suffering of another, coupled with the wish to relieve it",4218,/kəmˈpæʃɪn/
ethics,noun,luân lý,"For a long time, religion has generally dictated the ethical standards by which people live.","Từ lâu, tiêu chuẩn luân lý thường là do tôn giáo quy định.",(philosophy) The study of principles relating to right and wrong conduct.,4219,/ˈɛθɪks/
impulse,verb,sự thúc đẩy,"Because everything Beth does comes from within, from some dark impulse .","Bởi mọi việc Beth làm đều từ bên trong, từ 1 sự thúc đẩy đen tối nào đó.",A thrust; a push; a sudden force that impels.,4220,/ˈɪmpəls/
cascade,noun,tầng,"And then on top of that, that's created a kind of cascading effect.","Sau cùng, điều này đã tạo ra một dạng ảnh hưởng phân tầng .",(intransitive) To fall as a waterfall or series of small waterfalls.,4221,/kæsˈkeɪd/
decompose,verb,phân huỷ,"It can take bottle one an agonizing 1,000 years to decompose .","Và có thể mất tới 1,000 năm đằng đẵng để chiếc chai thứ nhất này phân huỷ .",(transitive) to separate or break down something into its components; to disintegrate or fragment,4222,/dikəmˈpʌʊz/
irritated,adjective,bị chọc tức,and it seems to keep getting irritated .,và dường như cứ bị chọc tức .,Simple past tense and past participle of irritate.,4223,/ˈɪrɪteɪtɪd/
collaborate,verb,cộng tác,"Instead, the band held out for Vig, with whom they felt comfortable collaborating .","Cuối cùng, họ đã cộng tác với Vig, người mà họ cảm thấy thoải mái nhất.",To work together with others to achieve a common goal.,4224,/kəˈlæbɔreɪt/
stunning,adjective,cừ khôi,"McCarthy believed American Beauty a "" stunning card of introduction"" for film débutantes Mendes and Ball.","McCarthy tin Vẻ đẹp Mỹ là một ""nước cờ mở đầu cừ khôi "" cho những người mới bước vào ngành điện ảnh như Mendes và Ball.",Having an effect that stuns.,4225,/ˈstʌnɪŋ/
slump,verb,hạ nhanh,Her shoulders slumped as she replaced the lid and shuffled into the house .,Vai của con bé hạ nhanh xuống khi con bé lấy cái nắp ra rồi lê bước vào nhà .,(intransitive) To collapse heavily or helplessly.,4226,/sləmp/
mode,noun,cách thức,Chapters 4–5 detail the exact mode of administering the sacrament.,Các chương 4–5 chỉ dẫn tường tận cách thức chính xác làm lễ Tiệc Thánh.,"(music) One of several ancient scales, one of which corresponds to the modern major scale and one to the natural minor scale",4227,/məʊd/
dander,verb,sự giận dữ,"Their coats do not shed, which reduces dander .","Bộ lông của chúng không rụng, làm giảm dander .",Dandruff—scaly white dead skin flakes from the human scalp.,4228,/ˈdændə/
theoretical,adjective,suông,Jesus’s teachings were not meant to be theoretical .,Những lời giảng dạy của Chúa Giê Su không có nghĩa là lý thuyết .,Of or relating to theory; abstract; not empirical.,4229,/θiəˈrɛtɪkəl/
demonstrate,Verb,giải thích,Mother comes to the rescue and demonstrates what must be done.,Mẹ nó đến giải cứu và giải thích phải làm gì.,To display the method of using an object.,4230,/ˈdɛmənstreɪt/
simulation,noun,mô phỏng,You couldn't really create this or simulate it in any other way.,Bạn không thể nào tạo ra hoặc mô phỏng nó bằng bất cứ cách nào.,Something which simulates a system or environment in order to predict actual behaviour.,4231,/sɪmjuˈleɪʃɪn/
anterior,adjective,phía trước,The most common cause of anterior nosebleeds is dry air .,Nguyên nhân chảy máu cam phía trước thường gặp nhất là do không khí khô .,Before in place.,4232,/ænˈtiriə/
mucus,noun,nước nhầy,"Because newborns tend to breathe through their noses and their nasal passages are narrow , small amounts of nasal fluid or mucus can cause them to breathe noisily or sound congested even when they do n't have a cold or other problem .","Vì trẻ sơ sinh thường có khuynh hướng thở bằng mũi và lỗ mũi của bé rất hẹp , nên một lượng nhỏ dịch mũi hoặc nước nhầy có thể làm cho bé thở khò khè hoặc nghe như bị nghẹt mũi thậm chí khi bé không bị cảm lạnh hoặc bị một bệnh nào khác .",(physiology) A slippery secretion from the lining of the mucous membranes.,4233,/ˈmjukəs/
logic,noun,luận lý,"Through logic and learning, knowledge is increased and understanding enhanced.","Qua luận lý học và kiến thức, sự hiểu biết được gia tăng.","(uncountable) A method of human thought that involves thinking in a linear, step-by-step manner about how a problem can be solved. Logic is the basis of many principles including the scientific method.",4234,/ˈlɒdʒɪk/
humane,adjective,nhân đức,No human has ever entered this castle.,Không con người nào trong lâu đài này được.,Having regard for the health and well-being of another; compassionate.,4235,/hjuˈmeɪn/
cassette,noun,cassette,"And listen, I made you a cassette recording.","Và nghe này, bố đã ghi cho con một băng cassette .","A small flat case containing magnetic tape on two reels, used to record and play back audio and video material.",4236,/kəˈsɛt/
ban,verb,cấm,President Jefferson did not want the trade ban to last long.,Tổng thống Jefferson không muốn cấm vận thương mại kéo dài.,To forbid or block from participation.,4237,/bæn/
abide by,verb,tuân thủ,I know it'll be hard for you to abide by my rules.,Tao mày sẽ khó khi tuân thủ các quy tắc của tao.,"(transitive) To accept a decision or law and act in accordance with it; to conform to; to acquiesce; as,to abide by an award.",4238,/əˈbaɪd baɪ/
reluctant,adjective,bất đắc dĩ,Helen is one of the more reluctant members of tonight's audience.,Helen là 1 khán giả bất đắc dĩ của buổi diễn tối nay.,(now rare) Opposing; offering resistance (to).,4239,/rɪˈlʌktɪnt/
pudgy,adjective,mập lùn,It's got these two pudgy cherubs holding it.,Có hai thiên xứ lùn lùn giữ chiếc đồng hồ.,"Fat, overweight (pertaining particularly to children), plump; chubby",4240,/ˈpʌdʒi/
resolve,verb,giải quyết,"If you two could resolve this tension, you could really help each other.",Nếu có thể giải quyết vấn đề căng thẳng này hai người có thể giúp được nhau đó.,(transitive) To find a solution to (a problem).,4241,/rɪˈzɑlv/
spite,verb,mối hận thù,I love you in spite of that.,Anh yêu em mặc dù em như thế.,"Ill will or hatred toward another, accompanied with the disposition to irritate, annoy, or thwart; a desire to vex or injure; petty malice; grudge; rancor.",4242,/spaɪt/
odious,adjective,ghê tởm,That is one odious aroma.,Đó là một hương thơm ghê tởm .,"Arousing or meriting strong dislike, aversion, or intense displeasure.",4244,/ˈʌʊdiɪs/
corrupt,adjective,tham nhũng,"Now, I don't want to be an apologist for corruption .","Bây giờ, tôi không muốn là người biện hộ cho tham nhũng .",In a depraved state; debased; perverted; morally degenerate; weak in morals.,4245,/kəˈrʌpt/
juvenile,adjective,vị thành niên,Given that my client is a juvenile the people have agreed to probation.,"Vì thân chủ của tôi vẫn là vị thành niên , nên được phép hưởng án treo.",an actor playing a child's role,4246,/ˈʤuvənəl/
sly,adjective,ranh mãnh,Sly wit.,Ranh mãnh .,"Done with, and marked by, artful and dexterous secrecy; subtle; as, a sly trick.",4247,/slaɪ/
obsess,verb,ám ảnh,And this obsession of yours with Raiden will cease immediately.,Và nỗi ám ảnh của ngươi với Raiden phải dừng lại ở đây.,"(passive, construed withwith) To be preoccupied with a single topic or emotion.",4248,/əbˈsɛs/
heft,verb,sức nặng,Has some heft .,Có vẻ nặng đấy nhỉ .,(uncountable) Weight,4250,/hɛft/
psychic,adjective,tâm thần,"No, it's a metaphorical construct representing a psychic attack within a shared dreamscape.",đó là hình ảnh ẩn dụ được tạo dựng đại diện cho cuộc tấn công tâm thần trong giấc mơ được chia sẻ này.,"A person who possesses, or appears to possess, extra-sensory abilities such as precognition, clairvoyance and telepathy, or who appears to be susceptible to paranormal or supernatural influence.",4251,/ˈsaɪkɪk/
prosper,verb,thịnh vượng,"And in order to build prosperity , we need security in place.","Và để xây dựng sự thịnh vượng , ta cần có an ninh.",To favor; to render successful.,4253,/ˈprɒspə/
dilemma,noun,song đề,I'm going to talk briefly about two of them: the prisoner's dilemma and the tragedy of the commons.,Tôi sẽ nói qua về 2 trong số đó: song đề tù nhân và bi kịch của mảnh đất công.,A circumstance in which a choice must be made between two or more alternatives that seem equally undesirable.,4254,/daɪˈlɛmə/
perilous,adjective,nguy hiểm,This is very perilous stuff you're messing with.,Cậu đang đùa với việc vô cùng nguy hiểm đấy.,"Dangerous, full of peril.",4255,/ˈpɛrɪlɪs/
chronicle,verb,ghi chép,"But I found the clues that will safely take us through, in the Chronicles of St. Anselm.",Nhưng ta đã tìm ra đầu mối giúp chúng ta an toàn Trong ghi chép về thánh Anselm,"A written account of events and when they happened, ordered by time.",4256,/ˈkrɒnɪkəl/
unanimous,adjective,nhất trí,I think our unanimous vote is all the commentary you need.,Tôi nghĩ việc nhất trí của chúng tôi là tất cả những bình luận các anh cần.,"Based on unanimity, complete assent or agreement.",4257,/juˈnænɪməs/
portray,verb,miêu tả sinh động,"In the Alexiad, Anna Komnene portrays gender and gender stereotypes in a unique way.","Trong Alexiad, Anna Komnene miêu tả sinh động các định kiến về giới tính theo một cách duy nhất.",To paint or draw the likeness of.,4258,/pɔˈtreɪ/
lewd,adjective,dâm dục,Replace lewd thoughts with hopeful images and joyful memories.,Thay thế những ý nghĩ dâm dục bằng hình ảnh đầy hy vọng và những kỷ niệm vui vẻ.,"Lascivious, sexually promiscuous, rude.",4259,/lud/
joist,verb,rầm,"Day after day, your memory sagged a little more, collapsing like the floor joists in the abandoned house.","Ngày qua ngày, trí nhớ của bà dần giảm sút như những mối ghép sàn ở căn nhà hoang nọ.","A piece of timber laid horizontally, or nearly so, to which the planks of the floor, or the laths or furring strips of a ceiling, are nailed; -- called, according to its position or use, binding joist, bridging joist, ceiling joist, trimming joist, etc.",4261,/dʒɔɪst/
quirk,verb,lời châm biếm,"You want to tame Florence, but I prefer it wild, for all its quirks and criminals.","Ngươi muốn thuần hóa Florence, nhưng ta muốn nó hoang dã, với tất cả lời châm biếm và tội phạm.","an idiosyncrasy; a slight glitch, mannerism; something unusual about the manner or style of something or someone",4262,/kwək/
embellish,verb,thêm thắt,( Chuckles ) Figured your stories could use a little embellishment .,Tôi thấy câu chuyện ông tạo ra cần thêm tí chút thêm thắt .,To make more beautiful and attractive; to decorate.,4263,/ɪmˈbɛlɪʃ/
incognito,adjective,giấu tên,What does incognito mean?,Ẩn danh có nghĩa là gì?,"Without being known; in disguise; in an assumed character, or under an assumed title.",4264,/ɪnkɒgˈnitəʊ/
fanciful,adjective,huyền ảo,"Oh, fancy policeman.","Oh, tôi đoán anh là cảnh sát.",imaginative or fantastic; unreal or imagined,4265,/ˈfænsɪfəl/
oust,verb,đuổi,Exposing the board for wanting to oust us because we wanted to stop poisoning people?,Cho hội đồng đã đuổi chúng ta Vì ta muốn ngưng việc đầu độc mọi người?,To expel; to remove.,4266,/aʊst/
